Site,Codigo,Sample_ID,Cob_shape,Length_mm,Diameter_mm,Cupule_number,Cupule_width_mm,Cupule_width_mm,Cupule_width_mm,Mean_Cupule_Width(mm),Cupule_height_mm,Cupule_height_mm,Cupule_height_mm,Mean_cupule_height(mm),Cupule_depth_mm,Cupule_depth_mm,Cupule_depth_mm,Mean_cupule_depth,Kernels_per_row,Kernels_per_row,Kernels_per_row,Mean_kernel_row,Total_Wt_g,Small_Bag_Wt_g,Large_Bag_Wt_g
RM-08-M43,,M43=4882.06,Round,19.18,9.06,6,3,3,3,3.0,3,3,2.5,2.8,1,2,1,1.3,5,5,5,5,0.24,0.1,0.14
RM-08-M43,,M43=4882.07,Round,29.02,5.97,6,3,3,3,3.0,3.5,2.5,2.5,2.8,1,1,2.5,1.5,8,8,8,8,0.23,0.1,0.13
RM-08-M43,,M43=4882.08,Oval,19.05,8.58,5,4,3,1.5,2.8,2.5,2.5,1.5,2.2,0.5,1,0.5,0.7,7,7,7,7,0.26,0.12,0.14
RM-08-M43,,M43=4882.09,Round,33.22,6.48,8,3,3,3,3.0,3,2.5,3,2.8,0.5,1,0.5,0.7,10,9,9,9,0.34,0.2,0.13
RM-08-M43,PICFM-49/22-RM8,M43=6385.01,Oval,146.95,26.55,10,6,7,7,6.7,5,4,4,4.3,3,1,1,1.7,32,33,33,33,16.53,3.59,12.92
RM-08-M43,,M43=6385.02,Oval,99.95,23.76,8,6,5,5,5.3,4,4,4,4.0,1,1,1,1.0,21,22,24,22,8.76,2.31,6.33
RM-08-M43,,M43=6385.03,Round,61.41,16.27,12,1.5,5,4,3.5,3,6,3,4.0,2,4,3,3.0,14,16,15,15,2.79,1.17,1.61
RM-08-M43,,M43=6385.04,Oval,57.13,18.51,9,5,5,5,5.0,3,3,4,3.3,2.000,2,2,2.0,19,18,18,18,3,0.62,2.34
RM-08-M43,,M43=6385.05,Rectangle,50.18,18.89,8,6,6,7,6.3,4,4,4,4.0,2,2,1,1.7,14,22,16,17,3.27,0.56,2.66
RM-08-M43,,M43=6385.06,Round,29.44,18.11,8,9,7,7,7.7,4,4,2,3.3,1,1,0.5,0.8,7,7,8,7,1.56,0.21,1.5
RM-08-M43,,M43=6385.07,Round,52.82,13.18,6,3.5,5,6,4.8,2,2.5,2,2.2,3,1,3,2.3,15,15,16,15,1.5,0.3,1.1
RM-08-M43,,M43=6385.08,Oval,45.3,16.55,6,7,7,7,7.0,3,4,4,3.7,2,1,2,1.7,9,10,8,9,1.8,0.45,1.34
RM-08-M43,,M43=6385.09,Oval,36.11,10,5,4,5,5,4.7,2.5,4,2.5,3.0,1,2,1,1.3,9,12,11,11,0.84,0.36,0.5
RM-08-M43,,M43=6385.10,Rectangle,71.7,19.49,7,4,6,6,5.3,4,3,3,3.3,2,2,1,1.7,24,21,19,21,4.47,0.7,3.69
RM-08-M43,,M43=6385.11,Round,52.77,12.77,6,5,6,6,5.7,5,4.5,3,4.2,1,1,0,0.7,12,12,11,12,1.48,0.25,1.26
RM-08-M43,,M43=6385.12,Round,39.96,14.31,6,4,7,7,6.0,4,3,4,3.7,2,3,3,2.7,10,10,9,10,1.26,0.3,0.98
RM-08-M43,,M43=6385.13,Round,25.36,18.98,10,4,5,4,4.3,4,4,4,4.0,1,0.5,1,0.8,7,6,6,6,1.45,0.65,1.1
RM-08-M43,,M43=6385.14,Oval,29.39,6.38,4,4,4,4,4.0,4,4,4,4.0,0.5,0.5,0.5,0.5,7,6,7,7,0.29,0.12,0.18
RM-08-M43,,M43=6385.15,Square,20.93,9.44,5,4,3.5,5,4.2,2.5,3,4,3.2,0.5,2,4,2.2,5,6,5,5,0.44,0.2,0.26
RM-08-M43,,M43=6385.16,Oval,31.97,6.56,6,2.5,2.5,3,2.7,2.5,2.5,2.5,2.5,0,0.5,0.5,0.3,12,10,12,11,0.35,0.25,0.11
RM-08-M43,PICFM-49/22-RM9,M43=6261.01,Round,111.29,17.62,9,7,7,7,7.0,4,3,3,3.3,2,3,2,2.3,29,31,29,30,5.24,1.18,4.05
RM-08-M43,,M43=6261.02,Round,83.14,14.23,7,4,3,4,3.7,2.5,2.5,2.5,2.5,1,0.5,0.5,0.7,26,22,30,26,4.38,0.86,3.44
RM-08-M43,,M43=6261.03,Round,22.34,84.18,9,6,6,8,6.7,3,3,3,3.0,1,1,2,1.3,24,26,26,25,7.54,2.06,5.47
RM-08-M43,,M43=6261.04,Round,58.73,18.22,10,4,7,6,5.7,5,3,3,3.7,2,2,1,1.7,16,16,15,16,5.13,0.51,4.59
RM-08-M43,,M43=6261.05,Round,47.75,15.44,6,5,7,7,6.3,4,3,3,3.3,2,2,1,1.7,12,12,12,12,2,0.5,1.49
RM-08-M43,,M43=6261.06,Oval,42.7,13.32,6,4,5,5,4.7,5,3,3,3.7,1,1,1,1.0,11,11,12,11,1.15,0.44,0.73
